id,name,weight,rôle,lat,lng
001c,France,4239,country,46.603354,1.8883335
002c,Etats-Unis,1880,country,39.7837304,-100.445882
003c,Allemagne,189,country,51.1638175,10.4478313
004c,Belgique,42,country,50.6402809,4.6667145
005c,Danemark,35,country,55.670249,10.3333283
006c,Espagne,135,country,39.3260685,-4.8379791
007c,Grande-Bretagne,412,country,54.3151594,-1.9181532
008c,Grèce,8,country,38.9953683,21.9877132
009c,Irlande,19,country,52.865196,-7.9794599
010c,Italie,174,country,42.6384261,12.674297
011c,Pays-Bas,10,country,52.2476498,5.5412468
012c,Pologne,32,country,52.215933,19.134422
013c,République Tchèque,9,country,49.7439047,15.3381061
014c,Russie,51,country,64.6863136,97.7453061
015c,Suède,51,country,59.6749712,14.5208584
016c,Suisse,33,country,46.7985624,8.2319736
017c,Australie,32,country,-24.7761086,134.755
018c,Brésil,33,country,-10.3333333,-53.2
019c,Canada,73,country,61.0666922,-107.991707
020c,Chine,46,country,35.0000663,104.999955
021c,Corée du Sud,54,country,36.638392,127.6961188
022c,Egypte,9,country,26.2540493,29.2675469
023c,Inde,74,country,22.3511148,78.6677428
024c,Iran,41,country,32.6475314,54.5643516
025c,Japon,223,country,36.5748441,139.2394179
026c,Mexique,30,country,23.6585116,-102.0077097
